,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_coef0,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
44,0.07799606323242188,0.015046891063454314,0.014776229858398438,0.004584508977565117,10,10.0,auto,sigmoid,"{'C': 10, 'coef0': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.13,0.14,0.13,0.13,0.13,0.132,0.0040000000000000036,49
45,0.03255300521850586,0.0017075602111336235,0.009381914138793945,0.001105772061944378,10,10.0,scale,linear,"{'C': 10, 'coef0': 10, 'gamma': 'scale', 'kernel': 'linear'}",0.87,0.91,0.83,0.91,0.86,0.876,0.03072458299147446,16
46,0.06621718406677246,0.011792528327305722,0.02647690773010254,0.010241698701249885,10,10.0,scale,rbf,"{'C': 10, 'coef0': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.9,0.93,0.86,0.92,0.89,0.9,0.024494897427831803,1
47,0.06505088806152344,0.013309129331191492,0.012433052062988281,0.0036539052233045127,10,10.0,scale,sigmoid,"{'C': 10, 'coef0': 10, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.13,0.14,0.13,0.13,0.13,0.132,0.0040000000000000036,49
48,0.04700560569763183,0.022582743870817372,0.013573837280273438,0.003121973798375484,10,0.5,auto,linear,"{'C': 10, 'coef0': 0.5, 'gamma': 'auto', 'kernel': 'linear'}",0.87,0.91,0.83,0.91,0.86,0.876,0.03072458299147446,16
49,0.04311714172363281,0.005984084143446196,0.022493362426757812,0.0053238810993202585,10,0.5,auto,rbf,"{'C': 10, 'coef0': 0.5, 'gamma': 'auto', 'kernel': 'rbf'}",0.9,0.93,0.83,0.91,0.87,0.8880000000000001,0.03487119154832542,10
50,0.034464454650878905,0.005345671034224747,0.012816381454467774,0.003015207690727755,10,0.5,auto,sigmoid,"{'C': 10, 'coef0': 0.5, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.83,0.91,0.79,0.9,0.87,0.86,0.044721359549995794,36
51,0.033978843688964845,0.006233783043337836,0.011900377273559571,0.0033081581715653867,10,0.5,scale,linear,"{'C': 10, 'coef0': 0.5, 'gamma': 'scale', 'kernel': 'linear'}",0.87,0.91,0.83,0.91,0.86,0.876,0.03072458299147446,16
52,0.05671916007995605,0.010661457925920912,0.017013072967529297,0.003920710750679009,10,0.5,scale,rbf,"{'C': 10, 'coef0': 0.5, 'gamma': 'scale', 'kernel': 'rbf'}",0.9,0.93,0.86,0.92,0.89,0.9,0.024494897427831803,1
53,0.04595990180969238,0.011088791323393146,0.008365297317504882,0.000488478222248214,10,0.5,scale,sigmoid,"{'C': 10, 'coef0': 0.5, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.67,0.75,0.76,0.76,0.74,0.736,0.03382306905057551,44
