,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_learning_rate,param_loss,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
20,0.0017711162567138673,5.328227992498746e-05,0.0,0.0,0.001,invscaling,squared_error,elasticnet,"{'alpha': 0.001, 'learning_rate': 'invscaling', 'loss': 'squared_error', 'penalty': 'elasticnet'}",,,,,,,,28
21,0.0017203807830810547,3.384852002876817e-05,0.0,0.0,0.001,invscaling,huber,l2,"{'alpha': 0.001, 'learning_rate': 'invscaling', 'loss': 'huber', 'penalty': 'l2'}",,,,,,,,28
22,0.0024414539337158205,0.0013133757876619457,0.0,0.0,0.001,invscaling,huber,l1,"{'alpha': 0.001, 'learning_rate': 'invscaling', 'loss': 'huber', 'penalty': 'l1'}",,,,,,,,28
23,0.0018359184265136718,7.708151938151397e-05,0.0,0.0,0.001,invscaling,huber,elasticnet,"{'alpha': 0.001, 'learning_rate': 'invscaling', 'loss': 'huber', 'penalty': 'elasticnet'}",,,,,,,,28
24,0.00201568603515625,0.0006232245349643797,0.0,0.0,0.001,invscaling,epsilon_insensitive,l2,"{'alpha': 0.001, 'learning_rate': 'invscaling', 'loss': 'epsilon_insensitive', 'penalty': 'l2'}",,,,,,,,28
25,0.0015902042388916016,5.521691936083002e-05,0.0,0.0,0.001,invscaling,epsilon_insensitive,l1,"{'alpha': 0.001, 'learning_rate': 'invscaling', 'loss': 'epsilon_insensitive', 'penalty': 'l1'}",,,,,,,,28
26,0.004834747314453125,0.006378481997726425,0.0,0.0,0.001,invscaling,epsilon_insensitive,elasticnet,"{'alpha': 0.001, 'learning_rate': 'invscaling', 'loss': 'epsilon_insensitive', 'penalty': 'elasticnet'}",,,,,,,,28
27,0.00242462158203125,0.0012178659492762716,0.0,0.0,0.0005,constant,squared_error,l2,"{'alpha': 0.0005, 'learning_rate': 'constant', 'loss': 'squared_error', 'penalty': 'l2'}",,,,,,,,28
28,0.0015955924987792968,9.079067145653748e-05,0.0,0.0,0.0005,constant,squared_error,l1,"{'alpha': 0.0005, 'learning_rate': 'constant', 'loss': 'squared_error', 'penalty': 'l1'}",,,,,,,,28
29,0.0015169620513916016,5.12515881764743e-05,0.0,0.0,0.0005,constant,squared_error,elasticnet,"{'alpha': 0.0005, 'learning_rate': 'constant', 'loss': 'squared_error', 'penalty': 'elasticnet'}",,,,,,,,28
30,0.001935577392578125,0.0007283860234213953,0.0,0.0,0.0005,constant,huber,l2,"{'alpha': 0.0005, 'learning_rate': 'constant', 'loss': 'huber', 'penalty': 'l2'}",,,,,,,,28
31,0.0020885467529296875,0.0009853134746136934,0.0,0.0,0.0005,constant,huber,l1,"{'alpha': 0.0005, 'learning_rate': 'constant', 'loss': 'huber', 'penalty': 'l1'}",,,,,,,,28
32,0.00200347900390625,0.0007055927402095047,0.0,0.0,0.0005,constant,huber,elasticnet,"{'alpha': 0.0005, 'learning_rate': 'constant', 'loss': 'huber', 'penalty': 'elasticnet'}",,,,,,,,28
